objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
jb001,IMG_0408b.jpg,,Dominoe tile table,"Knight, R. Cecilia ; Mertens, Gary D.",8/14/2020,Coffee table tiled in handmade dominoes and tiles,Coffee tables ; Ceramic tiles ;  Dominoes ; Pottery craft,"Grinnell, Iowa",41.75179133,-92.72770502,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb002,IMG_0409b.jpg,,Ceramic Umbrella stand competition results,"Knight, R. Cecilia ; Mertens, Jane E.",8/14/2020,Fish umbrella stand and Frog umbrella stand,Umbrella stands ; Animals in art ; Pottery craft ,"Grinnell, Iowa",41.75179133,-92.72770502,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb003,IMG_0419b.jpg,,Terra Cotta lidded jars,"Knight, R. Cecilia",8/25/2020,Terra cotta lidded jars with sodium silicate texture,Storage jars ; Pottery ,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb004,IMG_0469b.jpg,,Multi-color tile table,"Knight, R. Cecilia ; Mertens, Gary D.",2/23/2021,Blue coffee tables with tiled tops,Coffee tables ; Ceramic tiles ;  Dominoes ; Pottery craft,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb005,IMG_0553b.jpg,,Celedon Crystal porcelain tumbler,"Knight, R. Cecilia",3/16/2021,Celedon green tumbler with crystal patterns,Tumblers (Drinking glasses) ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb006,IMG_0554b.jpg,,Porcelain vase with Celedon Crystal,"Knight, R. Cecilia",3/22/2021,Rounded porcelain vase with narrow throat and layers of shades of green and crystal patterns,Vases ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb007,IMG_0555b.jpg,,Blue mug (10 oz),"Knight, R. Cecilia",10/15/2020,Matt blue stone glaze mug,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb008,IMG_0556b.jpg,,Jade green chattered mug,"Knight, R. Cecilia",6/15/2020,Jade green mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb009,IMG_0557b.jpg,,Shiny brown chattered mug,"Knight, R. Cecilia",6/15/2020,Brown mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb010,IMG_0558b.jpg,,Jade green chattered bowl,"Knight, R. Cecilia",7/15/2020,Jade green bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb011,IMG_0560b.jpg,,Red chattered bowl,"Knight, R. Cecilia",7/15/2020,Red bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb012,IMG_0561b.jpg,,Brown chattered bowl,"Knight, R. Cecilia",7/15/2020,Brown bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb013,IMG_0562b.jpg,,Brown chattered mug 2,"Knight, R. Cecilia",6/15/2020,Brown mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb014,IMG_0563b.jpg,,Terra cotta mug with blue glaze,"Knight, R. Cecilia",2/12/2020,Terra cotta mug with shiny blue glaze,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb015,IMG_0564b.jpg,,Sedona Sunset chattered bowl,"Knight, R. Cecilia",6/15/2020,Sedona Sunset bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb017,IMG_0566b.jpg,,Porcelain vase with copper rim,"Knight, R. Cecilia",3/22/2021,"Rounded porcelain vase with narrow throat and copper, blue crystal, textured shoulder, turquoise band and blue chattering",Vases ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb018,IMG_0567b.jpg,,Porcelain vase with metallic green glaze,"Knight, R. Cecilia",3/22/2021,Rounded porcelain vase with narrow throat and a flowing metallic green glaze with blue chattering at the base,Vases ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb020,IMG_0569b.jpg,,Blue swirl vase,"Knight, R. Cecilia",11/16/2020,Vase with a swirling pattern accentuated by a mix of bluish glazes,Vases ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb021,IMG_0570b.jpg,,Banded tea pot,"Knight, R. Cecilia",4/14/2019,2 cup teapot with brown band over a bluish grey glaze,Ceramic teapots ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
